data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-12-28,202553,16.0,16,16.0,16,0.45638543,3.9200602,0,1,"1,40010020255321E+017",2026-09-17,Boa Vista,0.9628321,408157,24.9163428571429,78.5786428571429,0.0,0.0,1,63.1891571428571,48.1575714285714,28.4711571428571,32.4217571428571,1,,,,,31542
2025-12-21,202552,22.0,22,22.0,22,0.9157162,5.390083,0,1,"1,40010020255221E+017",2026-09-17,Boa Vista,1.5844569,408157,25.4030857142857,75019.0,0.0,0.0,1,61.7245142857143,46.5807571428571,28.8058857142857,32.8238857142857,7,,,,,31542
2025-12-14,202551,18.0,18,18.0,18,0.7548122,4.4100676,0,2,"1,40010020255121E+017",2026-09-17,Boa Vista,1.2725341,408157,24.8455714285714,79.2415428571429,1.0,0.0,1,66.2032285714286,51.2074714285714,27.6653571428571,31.2728571428571,5,,,,,31542
2025-12-07,202550,10.0,10,10.0,10,0.08388397,2.4500377,0,2,"1,40010020255021E+017",2026-09-17,Boa Vista,0.5876697,408157,24.9446142857143,80.6368714285714,1.0,0.0,0,67203.0,51.6396142857143,28246.0,32.0125,0,,,,,31542
2025-11-30,202549,14.0,14,14.0,14,0.13668798,3.4300528,0,1,"1,40010020254921E+017",2026-09-17,Boa Vista,0.6889759,408157,24.2873428571429,95.7598,1.0,0.0,1,82.0195714285714,63.0315714285714,26.9173857142857,30.5482857142857,4,,,,,31542
2025-11-23,202548,16.0,16,16.0,16,0.18420489,3.9200602,0,1,"1,40010020254821E+017",2026-09-17,Boa Vista,0.7465525,408157,24.9013571428571,86.1408428571429,1.0,0.0,1,69.3331714285714,50.5437428571429,28.4250571428571,32.6708285714286,3,,,,,31542
2025-11-16,202547,22.0,22,22.0,22,0.6085663,5.390083,0,1,"1,40010020254721E+017",2026-09-17,Boa Vista,1.0876505,408157,25.5359714285714,79.5163142857143,0.0,0.0,1,62.7187142857143,43.2582,29.4162857142857,34.1148571428571,1,,,,,31542
2025-11-09,202546,24.0,24,24.0,24,0.74053854,5.88009,0,1,"1,40010020254621E+017",2026-09-17,Boa Vista,1.2135711,408157,24.8618428571429,84.6179714285714,1.0,0.0,1,72.0297857142857,55.6941428571429,28.0343,31.9871142857143,6,,,,,31542
2025-11-02,202545,19.0,19,19.0,19,0.37188774,4.6550713,0,1,"1,40010020254521E+017",2026-09-17,Boa Vista,0.90276283,408157,25.3490714285714,80.5719714285714,1.0,0.0,1,67.4990571428571,50.5898428571429,28.7568285714286,32.9391285714286,4,,,,,31542
2025-10-26,202544,18.0,18,18.0,18,0.28035644,4.4100676,0,1,"1,40010020254421E+017",2026-09-17,Boa Vista,0.83252424,408157,25.3739285714286,80.6697285714286,0.0,0.0,1,64.0210428571429,44.8555571428571,29.4180285714286,34.1120142857143,2,,,,,31542
2025-10-19,202543,22.0,22,22.0,22,0.54567987,5.390083,0,2,"1,40010020254321E+017",2026-09-17,Boa Vista,1.0351688,408157,24.3002,93.1701857142857,1.0,0.0,1,77.3692285714286,58.0361571428571,27.6582714285714,31.6589,6,,,,,31542
2025-10-12,202542,24.0,24,24.0,24,0.6414069,5.88009,0,1,"1,40010020254221E+017",2026-09-17,Boa Vista,1.1122699,408157,24.4889142857143,91.7023714285714,1.0,0.0,1,75.7298571428571,56.2446428571429,27.8094,31.7217714285714,5,,,,,31542
2025-10-05,202541,18.0,18,18.0,18,0.33211997,4.4100676,0,1,"1,40010020254121E+017",2026-09-17,Boa Vista,0.8708649,408157,24.0773857142857,95.5228571428571,1.0,0.0,1,80.5529428571429,61147.0,27.2835285714286,31.3358571428571,3,,,,,31542
2025-09-28,202540,24.0,24,24.0,24,0.8204229,5.88009,0,1,"1,40010020254021E+017",2026-09-17,Boa Vista,1.3246671,408157,25.3123,82.7445857142857,0.0,0.0,1,62.8533,43.6972142857143,29.6155857142857,34.0563428571429,7,,,,,31542
2025-09-21,202539,22.0,22,22.0,22,0.757997,5.390083,0,1,"1,40010020253921E+017",2026-09-17,Boa Vista,1.2468729,408157,26.3399285714286,68.1712571428571,0.0,0.0,1,52.4420428571429,37.0654428571429,30.6542714285714,35.0713428571429,4,,,,,31542
2025-09-14,202538,18.0,18,18.0,18,0.30822042,4.4100676,0,1,"1,40010020253821E+017",2026-09-17,Boa Vista,0.8532008,408157,25.6034714285714,82.9310142857143,0.0,0.0,1,61.8817857142857,40.1315428571429,29.9505142857143,34.6761428571429,3,,,,,31542
2025-09-07,202537,12.0,12,12.0,12,0.01858067,2.940045,0,1,"1,40010020253721E+017",2026-09-17,Boa Vista,0.49424028,408157,24.9025857142857,87.2556285714286,0.0,0.0,0,69.3977571428571,48.3862428571429,28.8848,33.3469428571429,2,,,,,31542
2025-08-31,202536,24.0,24,24.0,24,0.3375894,5.88009,0,1,"1,40010020253621E+017",2026-09-17,Boa Vista,0.8899977,408157,24.1940857142857,90.7059285714286,1.0,0.0,1,74.4544285714286,56.1284,27.7610571428571,31.8346857142857,7,,,,,31542
2025-08-24,202535,26.0,26,26.0,26,0.31246942,6.3700976,0,1,"1,40010020253521E+017",2026-09-10,Boa Vista,0.877868,408157,24.1384571428571,90.8697714285714,1.0,0.0,1,76.3201571428571,59.1410142857143,27.4260285714286,30.9970428571429,3,,,,,31542
2025-08-17,202534,22.0,22,22.0,22,0.20197204,5.390083,0,1,"1,40010020253421E+017",2026-09-02,Boa Vista,0.79035234,408157,23.8196428571429,92.7985285714286,0.0,0.0,1,80.0838428571429,64.0564,27.0786571428571,30.9473285714286,2,,,,,31542
2025-08-10,202533,37.0,37,37.0,37,0.93908757,9.065139,0,1,"1,40010020253321E+017",2026-08-24,Boa Vista,1.4832858,408157,23.0420428571429,97.1831714285714,0.0,0.0,1,86.2479142857143,71.2017,25.7910142857143,29.2483857142857,10,,,,,31542
2025-08-03,202532,29.0,29,29.0,29,0.716829,7.105109,0,1,"1,40010020253221E+017",2026-08-18,Boa Vista,1.1680621,408157,23.1498428571429,92.3498142857143,0.0,0.0,1,80.9090714285714,65.3229714285714,25.9420428571429,29.0411142857143,4,,,,,31542
2025-07-27,202531,18.0,18,18.0,18,0.16204536,4.4100676,0,1,"1,40010020253121E+017",2026-08-11,Boa Vista,0.7394931,408157,23.5798571428571,94.0587428571429,0.0,0.0,1,81.9059142857143,65.5798142857143,26.5813714285714,30.1588571428571,4,,,,,31542
2025-07-20,202530,31.0,31,31.0,31,0.79820067,7.5951166,0,1,"1,40010020253021E+017",2026-08-06,Boa Vista,1.2493278,408157,23.2263571428571,97.2673857142857,0.0,0.0,1,86.3878,70.9921857142857,25.8084142857143,29.2098142857143,4,,,,,31542
2025-07-13,202529,21.0,21,21.0,21,0.12935401,5.145079,0,1,"1,40010020252921E+017",2026-07-28,Boa Vista,0.72678846,408157,22.8119,97.7670428571429,0.0,0.0,1,88.9380285714286,75.1079857142857,24.9552571428571,27.7679,0,,,,,31542
2025-07-06,202528,25.0,25,25.0,25,0.1018062,6.125094,0,1,"1,40010020252821E+017",2026-07-20,Boa Vista,0.7197345,408157,22.6569428571429,97.7663714285714,0.0,0.0,1,88.2755,74.7315285714286,24.8878714285714,27.7562,3,,,,,31542
2025-06-29,202527,23.0,23,23.0,23,0.022470197,5.6350865,0,1,"1,40010020252721E+017",2026-07-13,Boa Vista,0.59683686,408157,23.0392714285714,96.2059285714286,0.0,0.0,1,86.9660857142857,74.4640714285714,25.2282285714286,27.7358142857143,4,,,,,31542
2025-06-22,202526,44.0,44,44.0,44,0.52701896,10.780166,0,1,"1,40010020252621E+017",2026-07-08,Boa Vista,1.0145382,408157,23.2797857142857,94.6747285714286,0.0,0.0,1,84.1532571428571,68.6503,25.9879857142857,29.3052285714286,7,,,,,31542
2025-06-15,202525,31.0,31,31.0,31,0.040559497,7.5951166,0,1,"1,40010020252521E+017",2026-07-02,Boa Vista,0.6711267,408157,23.4945,93.6000571428571,0.0,0.0,1,86.1251714285714,72.6195142857143,25.6144,28.4894428571429,10,,,,,31542
2025-06-08,202524,47.0,47,47.0,47,0.6357637,11.515177,0,1,"1,40010020252421E+017",2026-06-23,Boa Vista,1.0752895,408157,23.3338142857143,96.6618,0.0,0.0,1,88.1033571428571,76.0727,25.4530571428571,27.8311857142857,9,,,,,31542
2025-06-01,202523,50.0,50,50.0,50,0.8765208,12.250188,0,1,"1,40010020252321E+017",2026-06-17,Boa Vista,1.2776533,408157,23.5543571428571,94.0324428571429,0.0,0.0,1,86.1694142857143,73.9040571428571,25.6017142857143,28.2726142857143,12,,,,,31542
2025-05-25,202522,46.0,46,46.0,46,0.8541471,11.270173,0,1,"1,40010020252221E+017",2026-06-15,Boa Vista,1.2608546,408157,23.6999571428571,95.7483857142857,0.0,0.0,1,87.6038714285714,75.4235285714286,25.7787285714286,28.4461285714286,7,,,,,31542
2025-05-18,202521,35.0,35,35.0,35,0.49494332,8.575131,0,1,"1,40010020252121E+017",2026-06-04,Boa Vista,0.99699473,408157,23.6175571428571,96.5627714285714,0.0,0.0,1,88.9205285714286,75.8796428571429,25.4639714285714,28.0288285714286,3,,,,,31542
2025-05-11,202520,39.0,39,39.0,39,0.7443801,9.555146,0,1,"1,40010020252021E+017",2026-05-26,Boa Vista,1.1661385,408157,23.7619285714286,96.8680428571429,0.0,0.0,1,87.9898714285714,75.3472142857143,25.8036714285714,28.3928714285714,5,,,,,31542
